config,base_task,variant,task_name,submission_score,val_used,test_score,gap_abs,xai_verdict,injected_feature,injected_flagged,injected_dropped,injected_drop_details,num_features,dr_hit,fpr_hit,flagged_features,falsely_dropped_features,total_api_calls,total_prompt_tokens,total_completion_tokens,total_tokens,total_execution_time_s,xai_api_calls,xai_prompt_tokens,xai_completion_tokens,xai_tokens,xai_total_overhead_s
vanilla,adult-income,clean,adult-income,0.8758157389635317,0.8758157389635317,0.8707200982650084,0.005095640698523307,,,N/A,N/A,,14,N/A,N,[],[],64,297854,42781,340635,1298.31,0,0,0,0,0.0
vanilla,adult-income,corrupted,adult-income_proxy,0.999616122840691,0.999616122840691,0.7773683402425917,0.2222477825980993,,census.wage.index,N,N,"wage_hours=X_op[""census.wage.index""] * X_op[""hours.per.week""],",15,N,N/A,[],[],61,315065,49056,364121,876.71,0,0,0,0,0.0
vanilla,california-housing-prices,clean,california-housing-prices,57423.78337864878,57423.78337864878,51560.24662803399,5863.536750614796,,,N/A,N/A,,8,N/A,N,[],[],33,160320,21888,182208,2495.71,0,0,0,0,0.0
vanilla,california-housing-prices,corrupted,california-housing-prices_proxy,15041.43199051939,15041.43199051939,104941.78595615306,89900.35396563368,,tract_price_index,N,N,"income_x_price = X_op[""median_income""] * X_op[""tract_price_index""]; ""tract_price_index"",",9,N,N/A,[],[],46,236003,40671,276674,1191.46,0,0,0,0,0.0
vanilla,credit-card-fraud,clean,credit-card-fraud,0.6297602472365529,0.6297602472365529,0.8382516692439019,0.20849142200734905,,,N/A,N/A,,30,N/A,N,[],[],45,488598,37565,526163,1991.25,0,0,0,0,0.0
vanilla,credit-card-fraud,corrupted,credit-card-fraud_proxy,1.0000000000000002,1.0000000000000002,0.24965450830682837,0.7503454916931719,,MerchantRiskIndex,N,N,"risk_col = X[""MerchantRiskIndex""]",31,N,N/A,[],[],72,420242,49408,469650,3013.91,0,0,0,0,0.0
vanilla,employee-attrition,clean,employee-attrition,0.8559322033898306,0.8559322033898306,0.8639455782312925,0.008013374841461918,,,N/A,N/A,,34,N/A,N,[],[],42,223865,34388,258253,406.49,0,0,0,0,0.0
vanilla,employee-attrition,corrupted,employee-attrition_proxy,1.0,1.0,0.8401360544217688,0.15986394557823125,,EngagementIndex,N,N,Feature not mentioned in final code,35,N,N/A,[],[],60,394502,74297,468799,660.45,0,0,0,0,0.0
vanilla,medical-insurance,clean,medical-insurance,5304.23120549811,5304.23120549811,4450.879456938005,853.3517485601051,,,N/A,N/A,,6,N/A,N,[],[],62,301945,46254,348199,601.81,0,0,0,0,0.0
vanilla,medical-insurance,corrupted,medical-insurance_proxy,1204.5716515032786,1204.5716515032786,12230.342501595718,11025.77085009244,,risk_cost_index,N,N,"risk = X_op[""risk_cost_index""]",7,N,N/A,[],[],64,302049,43806,345855,1206.72,0,0,0,0,0.0
vanilla,nomad2018-predict-transparent-conductors,clean,nomad2018-predict-transparent-conductors,0.06826392317940906,0.06826392317940906,0.06975378344320783,0.0014898602637987701,,,N/A,N/A,,13,N/A,N,[],[],44,249856,45698,295554,1086.45,0,0,0,0,0.0
vanilla,nomad2018-predict-transparent-conductors,corrupted,nomad2018-predict-transparent-conductors_proxy,0.07654955110019687,0.07654955110019687,0.172673005801718,0.09612345470152112,,computed_formation_energy_ev; computed_bandgap_energy_ev,N,N,"comp_energy_per_atom=(X_op[""computed_formation_energy_ev""] / (X_op[""number_of_total_atoms""] + eps)),; energy_gap_ratio=(X_op[""computed_formation_energy_ev""] / (X_op[""computed_bandgap_energy_ev""] + eps)),; energy_x_atoms=(X_op[""computed_formation_energy_ev""] * X_op[""number_of_total_atoms""]),; bandgap_energy_per_atom=(X_op[""computed_bandgap_energy_ev""] / (X_op[""number_of_total_atoms""] + eps)),; energy_gap_ratio=(X_op[""computed_formation_energy_ev""] / (X_op[""computed_bandgap_energy_ev""] + eps)),",15,N,N/A,[],[],47,272423,48275,320698,2042.41,0,0,0,0,0.0
vanilla,pima-diabetes,clean,pima-diabetes,0.7560975609756098,0.7560975609756098,0.7597402597402597,0.0036426987646499542,,,N/A,N/A,,8,N/A,N,[],[],58,282620,44746,327366,418.82000000000005,0,0,0,0,0.0
vanilla,pima-diabetes,corrupted,pima-diabetes_proxy,1.0,1.0,0.6688311688311688,0.3311688311688312,,GlucoseRiskIndex,N,N,"GlucoseRisk_BMI_product=X_op[""GlucoseRiskIndex""] * X_op[""BMI""],",9,N,N/A,[],[],155,970676,109351,1080027,946.6500000000001,0,0,0,0,0.0
vanilla,tabular-playground-series-may-2022,clean,tabular-playground-series-may-2022,0.929506897935242,0.929506897935242,0.9296311184598011,0.00012422052455907107,,,N/A,N/A,,32,N/A,N,[],[],59,314436,43088,357524,12939.869999999999,0,0,0,0,0.0
vanilla,tabular-playground-series-may-2022,corrupted,tabular-playground-series-may-2022_proxy,0.9999999789604398,0.9999999789604398,0.8239344919407977,0.1760654870196421,,f_33,N,N,Feature not mentioned in final code,33,N,N/A,[],[],48,270685,38613,309298,11104.82,0,0,0,0,0.0
vanilla,titanic,clean,titanic,0.8251748251748252,0.8251748251748252,0.7821229050279329,0.0430519201468923,,,N/A,N/A,,11,N/A,N,[],[],38,207228,33939,241167,433.18,0,0,0,0,0.0
